name,x,y,z,array_channel,audio_file_channel,data_path,file_name_root
Hydrophone 0,-0.858,-0.86,-0.671,0,0,C:\Users\xavier.mouy\Documents\Reports_&_Papers\Papers\10-XAVarray_2020\data\large_array\2019-09-15_HornbyIsland_AMAR_07-HI,AMAR173.1.
Hydrophone 1,-0.858,-0.86,0.479,1,0,C:\Users\xavier.mouy\Documents\Reports_&_Papers\Papers\10-XAVarray_2020\data\large_array\2019-09-15_HornbyIsland_AMAR_07-HI,AMAR173.2.
Hydrophone 2,0.858,-0.86,-0.671,2,0,C:\Users\xavier.mouy\Documents\Reports_&_Papers\Papers\10-XAVarray_2020\data\large_array\2019-09-15_HornbyIsland_AMAR_07-HI,AMAR173.3.
Hydrophone 3,0.028,0,-0.002,3,0,C:\Users\xavier.mouy\Documents\Reports_&_Papers\Papers\10-XAVarray_2020\data\large_array\2019-09-15_HornbyIsland_AMAR_07-HI,AMAR173.4.
Hydrophone 4,-0.858,0.86,-0.671,4,0,C:\Users\xavier.mouy\Documents\Reports_&_Papers\Papers\10-XAVarray_2020\data\large_array\2019-09-15_HornbyIsland_AMAR_07-HI,AMAR173.5.
Hydrophone 5,0.858,0.86,0.671,5,0,C:\Users\xavier.mouy\Documents\Reports_&_Papers\Papers\10-XAVarray_2020\data\large_array\2019-09-15_HornbyIsland_AMAR_07-HI,AMAR173.6.
