name,x,y,z,array_channel,audio_file_channel,data_path,file_name_root
Hydrophone 0,-0.46,0,0,0,0,D:\XAV_array_mobile\2019-09-14_HornbyIsland_Trident\2019-09-16\trip1_morning\SoundTrap\671404070,671404070
Hydrophone 1,0,0.19,0.54,1,1,D:\XAV_array_mobile\2019-09-14_HornbyIsland_Trident\2019-09-16\trip1_morning\SoundTrap\671404070,671404070
Hydrophone 2,0,0.49,0,2,2,D:\XAV_array_mobile\2019-09-14_HornbyIsland_Trident\2019-09-16\trip1_morning\SoundTrap\671404070,671404070
Hydrophone 3,0.48,0,0,3,3,D:\XAV_array_mobile\2019-09-14_HornbyIsland_Trident\2019-09-16\trip1_morning\SoundTrap\671404070,671404070
