name,x,y,z,array_channel,audio_file_channel,data_path,file_name_root
Hydrophone 0,-0.86,-0.865,-0.654,0,0,C:\Users\xavier.mouy\Documents\Reports_&_Papers\Papers\10-XAVarray_2020\data\large_array\2019-06-15_OgdenPoint_AMAR_04-OGD,AMAR173.1.
Hydrophone 1,-0.86,-0.865,0.146,1,0,C:\Users\xavier.mouy\Documents\Reports_&_Papers\Papers\10-XAVarray_2020\data\large_array\2019-06-15_OgdenPoint_AMAR_04-OGD,AMAR173.2.
Hydrophone 2,0.86,-0.865,-0.654,2,0,C:\Users\xavier.mouy\Documents\Reports_&_Papers\Papers\10-XAVarray_2020\data\large_array\2019-06-15_OgdenPoint_AMAR_04-OGD,AMAR173.3.
Hydrophone 3,0.016,-0.004,0.047,3,0,C:\Users\xavier.mouy\Documents\Reports_&_Papers\Papers\10-XAVarray_2020\data\large_array\2019-06-15_OgdenPoint_AMAR_04-OGD,AMAR173.4.
Hydrophone 4,-0.86,0.865,-0.654,4,0,C:\Users\xavier.mouy\Documents\Reports_&_Papers\Papers\10-XAVarray_2020\data\large_array\2019-06-15_OgdenPoint_AMAR_04-OGD,AMAR173.5.
Hydrophone 5,0.86,0.865,0.654,5,0,C:\Users\xavier.mouy\Documents\Reports_&_Papers\Papers\10-XAVarray_2020\data\large_array\2019-06-15_OgdenPoint_AMAR_04-OGD,AMAR173.6.
